23Block Name,Block Category,Created By,Name (from Created By),Status,Notes,Block Exercises,Template Blocks
Warm-Up Activation,,Farshad,Farshad,Active,,,Unnamed record
Movement Block,,Farshad,Farshad,Active,,,Unnamed record
Speed Block,,Farshad,Farshad,Active,,,Unnamed record
Agility Block,,Farshad,Farshad,Active,,,Unnamed record
Strength Block,,Farshad,Farshad,Active,,,Unnamed record
Plyometric Block,,Farshad,Farshad,,,,
Coordination Block,,Farshad,Farshad,,,,
Games Block,,Farshad,Farshad,,,,
Recovery Block,,Farshad,Farshad,,,,Unnamed record
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
